Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Income share held by highest 10%,SI.DST.10TH.10,Afghanistan,AFG,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Albania,ALB,22.8,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Algeria,DZA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,American Samoa,ASM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Andorra,AND,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Angola,AGO,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Antigua and Barbuda,ATG,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Argentina,ARG,30.6,31.2,29.8,..
Income share held by highest 10%,SI.DST.10TH.10,Armenia,ARM,21.5,23.6,23,..
Income share held by highest 10%,SI.DST.10TH.10,Aruba,ABW,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Australia,AUS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Austria,AUT,23.1,23.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Azerbaijan,AZE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Bahamas, The",BHS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bahrain,BHR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bangladesh,BGD,..,..,27.4,..
Income share held by highest 10%,SI.DST.10TH.10,Barbados,BRB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Belarus,BLR,20.7,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Belgium,BEL,21.4,21.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Belize,BLZ,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Benin,BEN,..,27.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bermuda,BMU,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bhutan,BTN,..,..,22.7,..
Income share held by highest 10%,SI.DST.10TH.10,Bolivia,BOL,32.6,30.3,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bosnia and Herzegovina,BIH,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Botswana,BWA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Brazil,BRA,39.5,41.6,41,..
Income share held by highest 10%,SI.DST.10TH.10,British Virgin Islands,VGB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Brunei Darussalam,BRN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bulgaria,BGR,32.6,29.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Burkina Faso,BFA,..,30.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Burundi,BDI,29.9,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cabo Verde,CPV,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cambodia,KHM,..,..,..,..
